Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,
P.J. Washington,26,PF,47,46,32.2,5,11.6,0.432,1.6,4.2,0.374,3.4,7.4,0.466,0.5,2.4,3.2,0.74,1.6,6.5,8.1,2.3,1.2,1.1,1.9,2.4,14,
Tobias Harris,32,PF,59,59,32,5.3,11.2,0.473,1.3,3.7,0.338,4.1,7.5,0.54,0.529,1.9,2.2,0.878,0.9,5,5.9,2.3,0.9,0.8,1.1,1.9,13.8,
Bobby Portis,29,PF,46,7,25.2,5.6,12.1,0.463,1.3,3.6,0.364,4.3,8.5,0.505,0.517,1.2,1.5,0.821,1.8,6.5,8.3,2.2,0.7,0.5,1.2,1.9,13.7,
Jarrett Allen,26,C,62,62,28.5,5.5,7.8,0.707,0,0,0,5.5,7.8,0.712,0.707,2.4,3.2,0.746,2.7,7.6,10.3,2,0.9,0.9,1.2,1.5,13.4,
Rui Hachimura,26,PF,50,50,32.1,5.1,10,0.506,1.7,4.1,0.41,3.4,5.9,0.573,0.59,1.5,2,0.765,1.5,3.8,5.2,1.5,0.8,0.5,0.9,1.8,13.3,
Aaron Gordon,29,PF,36,27,27,4.6,9.1,0.511,1.2,2.9,0.415,3.4,6.1,0.557,0.578,2.4,3,0.796,1.6,3.3,4.9,3.1,0.5,0.3,1.3,1.6,12.9,
Moritz Wagner,27,C,30,1,18.8,4.7,8.3,0.562,0.9,2.5,0.36,3.8,5.8,0.649,0.616,2.6,3.7,0.718,1.3,3.6,4.9,1.4,0.8,0.4,1.6,1.8,12.9,
Santi Aldama,24,PF,52,12,25.1,5,10.3,0.487,1.8,4.9,0.376,3.2,5.4,0.588,0.577,0.9,1.3,0.7,1.6,5.1,6.7,2.8,0.8,0.6,1,1,12.8,
Jaden McDaniels,24,PF,64,64,32.5,4.9,10.3,0.476,1.3,3.9,0.329,3.6,6.4,0.566,0.539,1.4,1.7,0.833,1.6,4.3,5.9,2,1.5,0.9,1.2,2.9,12.5,
Onyeka Okongwu,24,C,55,21,26.2,5,8.7,0.572,0.5,1.6,0.281,4.5,7.1,0.638,0.598,2,2.8,0.723,2.9,5.3,8.2,2.2,0.8,0.9,1.1,2.4,12.5,
Daniel Gafford,26,C,51,28,21.9,5,7.1,0.699,0,0,,5,7.1,0.699,0.699,2.4,3.4,0.699,2.7,4.1,6.9,1.4,0.4,1.9,1.2,2.7,12.3,
Keegan Murray,24,PF,58,58,34.5,4.7,10.7,0.443,1.9,5.7,0.334,2.8,5,0.566,0.532,0.9,1.1,0.825,2,4.8,6.8,1.4,0.8,0.9,0.9,2.5,12.2,
Tari Eason,23,PF,40,6,24.4,4.6,9.4,0.485,1.1,3.1,0.361,3.5,6.4,0.545,0.544,1.5,1.9,0.753,2.3,4.1,6.4,1.3,1.9,0.9,1.1,2.5,11.7,
Walker Kessler,23,C,47,47,30.4,5,6.9,0.727,0,0.1,0.333,4.9,6.7,0.734,0.73,1.5,2.7,0.548,4.5,7.6,12.1,1.6,0.6,2.3,1.5,2.2,11.5,
Harrison Barnes,32,PF,60,60,27.4,3.9,8,0.489,1.7,4,0.417,2.2,4,0.561,0.593,1.9,2.4,0.795,1.3,2.6,3.9,1.8,0.3,0.2,0.6,0.9,11.4,
Jonas Valančiūnas,32,C,60,14,19.7,4.6,8.4,0.549,0.1,0.5,0.276,4.5,7.9,0.566,0.557,1.9,2.2,0.878,2.5,5.5,8,2.1,0.5,0.6,1.6,2.1,11.2,
Jonas Valančiūnas,32,C,49,12,20.1,4.7,8.6,0.547,0.1,0.6,0.259,4.6,8.1,0.567,0.556,1.9,2.2,0.896,2.4,5.8,8.2,2.2,0.4,0.6,1.8,2,11.5,
Rudy Gobert,32,C,55,55,33.3,4.3,6.5,0.653,0,0,,4.3,6.5,0.653,0.653,2.4,3.6,0.68,3.5,6.9,10.4,1.8,0.7,1.5,1.4,2.4,11,
Isaiah Hartenstein,26,C,42,40,28.2,4.8,8.3,0.571,0,0.3,0,4.8,8,0.595,0.571,1.4,2.1,0.655,3,8.3,11.3,4,0.8,1.1,1.7,3,10.9,
Guerschon Yabusele,29,C,57,30,26.6,4,7.8,0.509,1.5,3.9,0.4,2.4,3.9,0.616,0.608,1.4,1.8,0.743,1.9,3.6,5.5,2,0.8,0.4,1.2,2.4,10.8,
Toumani Camara,24,PF,61,61,32.6,4,8.6,0.461,1.5,4.1,0.372,2.4,4.5,0.544,0.55,1.2,1.6,0.765,2.3,3.6,5.9,2.1,1.5,0.6,1.5,3,10.7,
Grant Williams,26,PF,16,7,29.9,3.4,7.7,0.439,1.7,4.6,0.365,1.7,3.1,0.551,0.549,1.9,2.3,0.838,1.1,4,5.1,2.3,1.1,0.8,1.8,2.9,10.4,
Nic Claxton,25,C,53,45,26.9,4.4,8.2,0.54,0,0.3,0.067,4.4,7.9,0.557,0.541,1.3,2.4,0.532,2.2,5.2,7.4,2.1,0.9,1.5,1.2,2.1,10.2,
Obi Toppin,26,PF,57,0,19.2,3.9,7.3,0.537,1.2,3.5,0.347,2.7,3.7,0.718,0.622,1.1,1.4,0.8,0.7,3.4,4.1,1.5,0.6,0.3,0.8,1.4,10.2,
Chris Boucher,32,PF,50,0,17.2,3.6,7.4,0.492,1.4,3.9,0.363,2.2,3.5,0.633,0.586,1.4,1.7,0.782,1.4,3.1,4.5,0.7,0.5,0.5,0.6,1.4,10,
Georges Niang,31,PF,60,2,21.6,3.5,7.5,0.463,2,4.9,0.399,1.5,2.6,0.583,0.594,0.5,0.7,0.8,0.7,3.2,3.8,1.4,0.4,0.2,0.9,2.6,9.4,
Georges Niang,31,PF,51,1,20.6,3.3,6.8,0.477,1.8,4.4,0.4,1.5,2.4,0.618,0.606,0.5,0.6,0.793,0.7,3,3.7,1.3,0.3,0.1,0.9,2.5,8.7,
Jalen Wilson,24,PF,60,15,26.8,3.1,7.9,0.395,1.4,4.5,0.315,1.7,3.4,0.5,0.484,1.7,2,0.826,1.1,2.4,3.4,1.9,0.5,0.1,1.1,2.2,9.3,
Trendon Watford,24,PF,25,0,18.1,3.3,7.3,0.456,0.6,1.8,0.304,2.8,5.4,0.507,0.495,2,2.5,0.794,0.7,2.7,3.4,2.1,0.7,0.2,1.6,2.3,9.2,
Nick Richards,27,C,43,30,22.1,3.4,5.7,0.587,0,0,0,3.4,5.7,0.592,0.587,2.4,3.3,0.73,2.5,6.1,8.6,1,0.3,1.1,1.4,2.5,9.1,
Nick Richards,27,C,21,9,21,3,5.4,0.561,0,0,0,3,5.4,0.566,0.561,2.8,4.1,0.678,2.4,5.1,7.5,1.3,0.3,1.2,1.6,2.3,8.9,
Nick Richards,27,C,22,21,23.3,3.7,6,0.609,0,0,0,3.7,6,0.614,0.609,2,2.5,0.815,2.5,7,9.6,0.6,0.2,0.9,1.3,2.7,9.4,
Patrick Williams,23,PF,45,35,26.2,3.2,8.6,0.375,1.6,4.5,0.351,1.6,4.1,0.4,0.466,1.1,1.4,0.769,0.8,3.3,4,2,0.8,0.6,1.3,1.3,9.1,
Clint Capela,30,C,52,41,21.7,4,7.1,0.565,0,0,0,4,7.1,0.566,0.565,1,1.9,0.536,3.2,5.4,8.6,1.2,0.6,1,0.9,2,9,
Wendell Carter Jr.,25,C,50,33,25.4,3.2,7,0.458,0.4,2.1,0.206,2.8,4.8,0.57,0.49,2,2.7,0.723,2.1,5.4,7.5,2.2,0.8,0.5,1.2,2.9,8.8,
Larry Nance Jr.,32,PF,24,3,19.3,3.3,6.5,0.516,1.4,3.2,0.447,1.9,3.3,0.582,0.626,0.4,0.5,0.692,1,3.3,4.3,1.6,0.8,0.5,0.7,1.5,8.5,
Dorian Finney-Smith,31,PF,45,29,27.8,3,6.7,0.449,1.9,4.6,0.402,1.2,2.1,0.553,0.587,0.5,0.7,0.667,1.4,2.6,4,1.4,0.9,0.3,0.9,2.2,8.4,
Dorian Finney-Smith,31,PF,20,20,29,3.7,8,0.459,2.4,5.4,0.435,1.3,2.6,0.51,0.607,0.8,1.2,0.625,1.6,3,4.6,1.6,0.9,0.6,0.9,2.7,10.4,
Dorian Finney-Smith,31,PF,25,9,26.9,2.5,5.8,0.438,1.5,4,0.366,1,1.7,0.605,0.566,0.3,0.4,0.778,1.2,2.3,3.6,1.2,1,0.1,0.9,1.8,6.8,
Jalen Smith,24,C,54,1,15.1,3,6.3,0.475,1.2,3.5,0.353,1.8,2.8,0.629,0.573,1.2,1.4,0.831,1.4,4.1,5.5,0.9,0.3,0.7,0.6,1.5,8.4,
Quinten Post,24,PF,24,8,15.3,3,6.4,0.468,1.7,3.9,0.426,1.3,2.5,0.533,0.597,0.6,0.6,0.933,1,2.8,3.8,1.5,0.4,0.3,0.8,1.9,8.3,
Day'Ron Sharpe,23,C,39,1,17.7,3.4,6.4,0.528,0.2,0.9,0.25,3.2,5.5,0.575,0.546,1.3,1.7,0.773,3,3.5,6.5,1.7,0.8,0.8,1.4,2.5,8.3,
Jusuf Nurkić,30,C,32,26,22.3,2.8,6.4,0.446,0.7,2.4,0.276,2.2,4,0.547,0.498,1.9,2.7,0.69,1.9,6.9,8.8,2.3,1,0.7,2.2,2.8,8.2,
Jusuf Nurkić,30,C,25,23,23.7,3,6.5,0.454,0.8,2.4,0.322,2.2,4.2,0.529,0.512,1.9,2.8,0.696,1.8,7.3,9.2,1.9,0.9,0.6,2.3,3.1,8.6,
Brandon Clarke,28,PF,57,18,19,3.6,5.9,0.619,0,0.3,0.059,3.6,5.6,0.649,0.621,0.9,1.3,0.685,2,3.2,5.1,1,0.8,0.5,0.6,2.3,8.2,
Kelly Olynyk,33,C,30,8,17.8,2.8,5.7,0.5,0.8,1.9,0.431,2,3.7,0.536,0.574,1.6,2,0.787,1.3,3.3,4.6,2.5,0.6,0.3,1.5,2.5,8.1,
Kelly Olynyk,33,C,24,2,16,2.5,4.9,0.5,0.8,1.8,0.442,1.7,3.1,0.533,0.581,1.4,1.8,0.791,1,2.7,3.7,2.3,0.7,0.3,1.5,2.5,7.1,
Goga Bitadze,25,C,52,41,22.7,3.4,5.5,0.62,0,0.4,0.091,3.3,5,0.664,0.623,1.3,2,0.631,2.6,5,7.5,2.1,0.8,1.6,1.2,2.2,8.1,
Bol Bol,25,PF,26,7,13.7,3,5.7,0.527,1,2.9,0.342,2,2.8,0.722,0.615,0.7,0.9,0.75,0.6,2.8,3.3,0.6,0.2,0.9,0.6,0.6,7.7,
Sam Hauser,27,PF,53,12,20.7,2.7,6.1,0.439,2.1,5.2,0.398,0.6,0.9,0.681,0.609,0.1,0.1,1,0.7,2.4,3.1,0.9,0.6,0.2,0.4,1.2,7.5,
Andre Drummond,31,C,37,20,18.7,2.9,5.7,0.514,0.1,0.4,0.125,2.9,5.3,0.546,0.519,1.5,2.4,0.614,2.7,5.2,7.9,0.8,1,0.4,1.4,2.4,7.4,
Richaun Holmes,31,PF,23,7,17.8,2.9,4.1,0.695,0,0.1,0,2.9,4,0.717,0.695,1.7,2,0.83,1.7,3.9,5.6,1.4,0.2,0.8,0.8,1.6,7.4,
Trayce Jackson-Davis,24,C,51,37,17.9,3.2,5.5,0.573,0,0,0,3.2,5.5,0.575,0.573,1,1.7,0.605,2.2,3.5,5.7,1.9,0.4,0.7,0.8,1.3,7.3,
Thomas Bryant,27,C,44,5,15.1,2.7,5,0.536,0.8,2.2,0.368,1.9,2.9,0.661,0.615,0.8,0.9,0.825,1.5,2.7,4.1,1.1,0.4,0.6,0.5,1.1,7,
Thomas Bryant,27,C,34,5,16.2,3.1,5.7,0.552,0.9,2.3,0.372,2.3,3.4,0.672,0.626,0.6,0.9,0.759,1.7,2.7,4.4,1.3,0.5,0.5,0.6,1.2,7.8,
Jay Huff,26,C,49,1,11.8,2.4,4.7,0.522,1.3,3.1,0.418,1.1,1.6,0.727,0.661,0.8,1,0.771,0.5,1.5,2,0.6,0.2,0.9,0.6,1.3,7,
Precious Achiuwa,25,C,39,8,22.5,2.9,5.7,0.52,0.2,0.7,0.31,2.7,4.9,0.552,0.541,0.8,1.3,0.62,2.2,4,6.2,1.1,0.9,0.8,0.8,1.6,6.9,
KJ Martin,24,PF,32,13,21.3,2.8,4.6,0.603,0.4,1.2,0.342,2.3,3.4,0.694,0.647,0.9,1.2,0.744,0.8,2.3,3.1,0.9,0.5,0.6,0.6,2.4,6.8,
KJ Martin,24,PF,24,7,20,2.5,4.1,0.616,0.3,0.9,0.381,2.2,3.3,0.679,0.657,1,1.2,0.828,0.9,2.1,3,0.8,0.5,0.7,0.5,2.6,6.4,
Jake LaRavia,23,PF,57,0,20.1,2.3,4.9,0.472,0.8,2,0.417,1.5,2.9,0.509,0.557,1.2,1.8,0.676,1.4,2.6,4.1,2.5,0.9,0.4,1.4,2,6.7,
Jake LaRavia,23,PF,47,0,20.9,2.5,5.1,0.49,0.9,1.9,0.444,1.7,3.2,0.517,0.573,1.4,2,0.698,1.4,2.9,4.4,2.8,0.9,0.4,1.5,2,7.3,
Jaxson Hayes,24,C,39,18,18.8,2.6,3.6,0.718,0,0.1,0,2.6,3.6,0.729,0.718,1.2,1.6,0.726,1.4,3.1,4.5,1,0.6,1,0.7,2.2,6.4,
Zach Collins,27,PF,44,9,14.4,2.3,4.6,0.495,0.5,1.6,0.282,1.8,3,0.609,0.544,1.2,1.3,0.879,1.5,2.4,3.8,1.7,0.5,0.4,0.8,2,6.2,
Zach Collins,27,C,36,4,11.8,1.7,3.7,0.462,0.4,1.3,0.304,1.3,2.4,0.547,0.515,0.9,1,0.886,1.1,1.8,2.8,1.4,0.4,0.4,0.6,1.9,4.6,
Trey Lyles,29,PF,50,2,18.4,2.1,5.3,0.407,1.2,3.4,0.343,1,1.8,0.527,0.519,0.7,1,0.714,1.1,3.4,4.5,1.1,0.6,0.4,0.5,1.2,6.2,
Isaiah Stewart,23,C,57,3,19.9,2.4,4.3,0.543,0.2,0.7,0.293,2.1,3.6,0.592,0.567,0.9,1.2,0.765,1.9,3.7,5.6,1.6,0.4,1.4,1,2.5,5.8,
Robert Williams,27,C,20,3,17.6,2.5,3.9,0.641,0.1,0.2,0.333,2.5,3.8,0.653,0.647,0.8,0.9,0.882,1.8,4.2,5.9,1.1,0.7,1.7,0.9,1.6,5.8,
Jonathan Isaac,27,PF,55,0,16.3,2,5,0.407,0.6,2.4,0.261,1.4,2.5,0.547,0.471,1,1.5,0.679,1.8,3,4.8,0.5,0.8,1.1,0.4,1.4,5.7,
Jeremiah Robinson-Earl,24,PF,48,6,17.3,2.1,4.7,0.454,0.8,2.2,0.336,1.4,2.5,0.558,0.533,0.7,0.8,0.842,1.6,2.8,4.4,1.1,0.6,0.1,0.6,1.2,5.7,
Dean Wade,28,PF,42,26,21.9,2,4.9,0.407,1.4,4,0.343,0.6,0.9,0.684,0.547,0.3,0.6,0.52,1,3.8,4.8,1.5,0.8,0.4,0.4,1.9,5.6,
Kenrich Williams,30,PF,50,1,14.4,2.2,4.5,0.489,0.9,2.3,0.386,1.3,2.2,0.595,0.587,0.3,0.4,0.889,0.9,2.3,3.2,1.2,0.6,0.1,0.6,1.5,5.6,
Drew Eubanks,27,C,46,4,14.3,2.2,3.7,0.592,0.1,0.1,0.5,2.1,3.5,0.595,0.601,0.9,1.4,0.651,1.1,3.1,4.2,1,0.2,0.8,0.7,1.1,5.3,
Drew Eubanks,27,C,37,4,15.4,2.4,3.9,0.607,0.1,0.1,0.6,2.3,3.8,0.607,0.617,1,1.5,0.632,1.1,3.5,4.5,1.2,0.3,0.9,0.8,1.2,5.8,
Moussa Diabaté,23,C,52,7,18.4,2.2,3.7,0.589,0,0,0,2.2,3.6,0.596,0.589,1,1.7,0.575,2.9,3.8,6.7,0.8,0.7,0.7,0.8,1.6,5.3,
Jonathan Mogbo,23,PF,49,11,17.9,2.1,4.6,0.451,0.3,1,0.298,1.8,3.6,0.492,0.482,0.9,1.3,0.703,1.6,2.6,4.1,1.6,0.8,0.5,0.9,2.1,5.3,
Karlo Matković,23,PF,24,3,16.3,2,3.9,0.521,0.4,1.3,0.333,1.6,2.7,0.609,0.574,0.7,0.8,0.85,1.4,2.7,4.1,0.9,0.4,1,1,2.2,5.2,
Kyle Anderson,31,PF,46,4,15,2,4.5,0.444,0.5,1.2,0.368,1.5,3.3,0.473,0.495,0.7,1,0.689,0.9,2.3,3.2,2.2,0.6,0.5,0.5,1.2,5.1,
Kyle Anderson,31,PF,36,3,15,2.1,4.7,0.45,0.5,1.4,0.365,1.6,3.3,0.487,0.506,0.5,0.8,0.667,0.8,2.3,3.1,2.3,0.7,0.6,0.6,1.1,5.3,
Luke Kornet,29,C,54,9,17.6,2.1,3.2,0.649,0,0,0,2.1,3.2,0.653,0.649,0.9,1.2,0.746,2.3,2.6,5,1.7,0.5,1,0.5,1.6,5.1,
Neemias Queta,25,C,48,5,14.1,2.1,3.3,0.652,0,0.1,0,2.1,3.2,0.665,0.652,0.7,1,0.729,1.4,2.3,3.7,0.6,0.3,0.6,0.6,1.8,5,
Kevon Looney,28,C,56,6,15.8,2.1,4.1,0.509,0,0,0,2.1,4.1,0.513,0.509,0.8,1.4,0.553,2.8,3.9,6.6,1.7,0.7,0.5,0.6,2.2,4.9,
David Roddy,23,PF,30,3,12.5,1.7,3.7,0.464,0.6,1.8,0.333,1.1,1.9,0.586,0.545,0.6,0.7,0.818,0.4,2.2,2.6,1.1,0.5,0.3,0.7,0.6,4.7,
David Roddy,23,PF,27,3,12.8,1.6,3.4,0.473,0.6,1.6,0.372,1,1.9,0.56,0.559,0.7,0.8,0.818,0.4,2.2,2.6,1.1,0.4,0.3,0.7,0.7,4.5,
Mo Bamba,26,C,28,2,12.6,1.7,3.7,0.466,0.5,1.8,0.3,1.2,1.9,0.623,0.539,0.6,0.9,0.68,0.9,3.4,4.3,0.6,0.3,1,0.7,1.8,4.6,
Charles Bassey,24,C,34,1,10.7,2,3.4,0.586,0,0,,2,3.4,0.586,0.586,0.6,1,0.636,1.6,2.8,4.4,0.5,0.4,0.9,0.7,1.4,4.6,
Orlando Robinson,24,C,27,2,12.9,1.6,3.7,0.434,0.1,0.7,0.2,1.4,2.9,0.494,0.455,0.9,1.2,0.781,1.3,2.1,3.4,1.2,0.4,0.3,0.9,1.6,4.3,
Orlando Robinson,24,C,18,2,16.2,2,4.6,0.439,0.2,0.8,0.2,1.8,3.7,0.493,0.457,1.2,1.4,0.84,1.8,2.5,4.3,1.3,0.4,0.3,1.1,2.1,5.3,
Micah Potter,26,C,28,9,17.6,1.5,3.3,0.446,0.9,2.5,0.371,0.5,0.8,0.682,0.587,0.4,0.4,0.917,1.2,3,4.1,0.8,0.3,0.4,0.7,1.3,4.3,
Daniel Theis,32,C,38,9,16.3,1.6,3.4,0.473,0.2,1,0.243,1.4,2.4,0.565,0.508,0.8,1,0.838,1.2,3.2,4.3,1.6,0.5,0.5,0.7,1.8,4.3,
Jarred Vanderbilt,25,PF,16,0,15.8,1.6,3.3,0.5,0.4,1.3,0.35,1.2,2,0.594,0.567,0.6,1.1,0.5,1.9,3.6,5.4,1.1,0.9,0.3,0.6,1.8,4.3,
Jock Landale,29,C,31,1,10.9,1.6,3.4,0.462,0.2,0.5,0.375,1.4,2.9,0.478,0.491,0.7,1.1,0.676,1.3,1.9,3.2,0.8,0.2,0.3,0.5,1,4.1,
Joel Embiid,29,C,39,39,33.6,11.5,21.8,0.529,1.4,3.6,0.388,10.2,18.3,0.556,0.561,10.2,11.6,0.883,2.4,8.6,11,5.6,1.2,1.7,3.8,2.9,34.7,
Giannis Antetokounmpo,29,PF,73,73,35.2,11.5,18.8,0.611,0.5,1.7,0.274,11,17.1,0.645,0.624,7,10.7,0.657,2.7,8.8,11.5,6.5,1.2,1.1,3.4,2.9,30.4,
Jayson Tatum,25,PF,74,74,35.7,9.1,19.3,0.471,3.1,8.2,0.376,6,11,0.542,0.552,5.6,6.7,0.833,0.9,7.2,8.1,4.9,1,0.6,2.5,2,26.9,
Nikola Jokić,28,C,79,79,34.6,10.4,17.9,0.583,1.1,2.9,0.359,9.4,14.9,0.626,0.612,4.5,5.5,0.817,2.8,9.5,12.4,9,1.4,0.9,3,2.5,26.4,
Anthony Davis,30,C,76,76,35.5,9.4,16.9,0.556,0.4,1.4,0.271,9,15.5,0.582,0.567,5.5,6.8,0.816,3.1,9.5,12.6,3.5,1.2,2.3,2.1,2.3,24.7,
Julius Randle,29,PF,46,46,35.4,8.6,18.2,0.472,1.7,5.3,0.311,6.9,12.9,0.539,0.518,5.1,6.6,0.781,2.2,7,9.2,5,0.5,0.3,3.5,2.7,24,
Lauri Markkanen,26,PF,55,55,33.1,7.8,16.2,0.48,3.2,8,0.399,4.6,8.2,0.559,0.578,4.5,5,0.899,2.2,5.9,8.2,2,0.9,0.5,1.4,1.8,23.2,
Zion Williamson,23,PF,70,70,31.5,8.9,15.6,0.57,0.1,0.3,0.333,8.8,15.4,0.574,0.573,5,7.1,0.702,1.7,4.1,5.8,5,1.1,0.7,2.8,2.3,22.9,
Paul George,33,PF,74,74,33.8,7.9,16.7,0.471,3.3,7.9,0.413,4.6,8.8,0.523,0.569,3.6,3.9,0.907,0.5,4.7,5.2,3.5,1.5,0.5,2.1,2.7,22.6,
